matcher,pattern,id_text,Designation,lemma
Two Tier,PN N DET PN,P342502,"VS 15, 49-RE",Tanittu-Anu[00]PN māru[son]N ša[of]DET Rihat-Anu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Labaši[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Anu-uballiṭ[00]PN māru[son]N ša[of]DET Anu-belšunu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Anu-belšunu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Anu-zer-lišir[00]PN māru[son]N ša[of]DET Iqiša[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Ariston[00]PN māru[son]N ša[of]DET Anton[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Kidin-Anu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Kidin-Anu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Tanittu-Anu[00]PN māru[son]N ša[of]DET Anu-ah-ittannu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Nidintu-Anu[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342503,"VS 15, 50-RE",Anu-zer-iddin[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Nidintu-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ab-utir[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Nidintu-Anu[00]PN māru[son]N ša[of]DET Labaši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ab-utir[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ab-utir[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",X[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Nanaya-iddin[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Ana-rabutika-Anu[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Nanaya-iddin[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Nanaya-iddin[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-zer-lišir[00]PN māru[son]N ša[of]DET Tanittu-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-zer-lišir[00]PN māru[son]N ša[of]DET Šamaš-ittannu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Nidintu-Anu[00]PN māru[son]N ša[of]DET Anu-zer-lišir[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-mukin-apli[00]PN māru[son]N ša[of]DET Anu-ah-ittannu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ikṣur[00]PN māru[son]N ša[of]DET Kidin-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ikṣur[00]PN māru[son]N ša[of]DET Anu-ah-ittannu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-balassu-iqbi[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Apla[00]PN māru[son]N ša[of]DET Nanaya-iddin[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ušallim[00]PN māru[son]N ša[of]DET Šamaš-eṭir[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ab-uṣur[00]PN māru[son]N ša[of]DET Ša-Anu-iššu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ab-utir[00]PN māru[son]N ša[of]DET Iddinaya[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-ab-uṣur[00]PN māru[son]N ša[of]DET Anu-ahhe-iddin[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Kidin-Anu[00]PN māru[son]N ša[of]DET Anu-ah-ušabši[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-uballiṭ[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Ina-qibit-Anu[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Iqiša[00]PN māru[son]N ša[of]DET Ištar-šum-eriš[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Anu-balassu-iqbi[00]PN māru[son]N ša[of]DET Anu-ah-iddin[00]PN
Two Tier,PN N DET PN,P342504,"VS 15, 51-RE",Kidin-Anu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
